ปี,หมายเลขบ่อน้ำบาดาล / หมายเลขอื่น ๆ,สถานที่ตั้งบ่อ,จังหวัด,อำเภอ,ตำบล,ความลึกของบ่อ,pH,EC,ความขุ่น,สี,แคลเซียม,แมกนีเซียม,โซเดียม,โพแทสเซียม,เหล็ก,แมงกานีส,ทองแดง,สังกะสี,ซัลเฟต,คลอโรด์,คาร์บอเนต,โบคาร์บอเนต,ฟลูออไรด์,ไนไทรต์,ไนเทรด,ความกระด้างทั้งหมด,ความกระกระด่างถาวร,TDS,สารหนู,ตะกั่ว,แคดเมียม,โครเมียม,ปรอท,ซีลีเนียม
2565,5909A037,บ้านเกาะพลอง ตำบลหนองบัว อำเภอเมืองจันทบุรี จังหวัดจันทบุรี,จันทบุรี,เมืองจันทบุรี,หนองบัว,-,7.4,295,1.7,-,12,1.4,54,1.1,0.8,0.1,-,-,7,27,0,125,0.5,-,< 0.9,36,0,192,,,,,,
2565,5909B012,บ้านคลองกลอย ตำบลแก่งหางแมว อำเภอแก่งหางแมว จังหวัดจันทบุรี,จันทบุรี,แก่งหางแมว,แก่งหางแมว,-,7.2,263,0.9,-,2.6,1.4,59,1.0,0.1,0.0,-,-,8,29,0,98,0.4,-,< 0.9,12,0,171,,,,,,
2565,6009B007,บ้านเนินโพธิ์ล่าง ตำบลหนองบัว อำเภอเมืองจันทบุรี จังหวัดจันทบุรี,จันทบุรี,เมืองจันทบุรี,หนองบัว,-,7.2,264,0.2,-,9.1,7.9,28,1.4,1.3,0.3,-,-,35,44,0,23,0.1,-,4.4,55,36,172,,,,,,
2565,6009G007,บ้านเนินธงชัย ตำบลนายายอาม อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,นายายอาม,-,7.2,280,1.3,-,37,7.4,14,0.34,0.0,0.0,-,-,1,2.4,0,183,0.2,-,< 0.9,120,0,182,,,,,,
2565,6009G007,บ้านเนินธงชัย ตำบลนายายอาม อำเภอนายายอาม จังหวัดจันทบุรี,จันทบุรี,นายายอาม,นายายอาม,-,7.1,281,> 20,-,36,8.5,11,0.31,0.0,0.1,-,-,1,2.4,0,181,0.2,-,< 0.9,130,0,183,,,,,,
2565,6009B007,บ้านเนินโพธิ์ล่าง ตำบลหนองบัว อำเภอเมืองจันทบุรี จังหวัดจันทบุรี,จันทบุรี,เมืองจันทบุรี,หนองบัว,-,7.9,332,0.1,-,13,12,34,1.5,5.6,0.4,-,-,19,73,0,32,0.0,-,< 0.9,83,56,216,,,,,,
2564,6309F039,บ้านทุ่งโตนด ตำบลท่าหลวง อำเภอมะขาม จังหวัดจันทบุรี,จันทบุรี,มะขาม,ท่าหลวง,92,8.7,720,-,-,9.8,29,110,2.5,0.1,0.0,-,-,7,11,51,355,0.4,0.00,< 0.9,140,0,468,,,,,,
2565,5909B012,บ้านคลองกลอย ตำบลแก่งหางแมว อำเภอแก่งหางแมว จังหวัดจันทบุรี,จันทบุรี,แก่งหางแมว,แก่งหางแมว,-,7.5,525,2.7,-,60,15,39,0.36,0.3,0.2,-,-,< 1,6.4,0,358,0.4,-,< 0.9,210,0,341,,,,,,
2565,6409F040,บ้านทุ่งโตนด ตำบลท่าหลวง อำเภอมะขาม จังหวัดจันทบุรี,จันทบุรี,มะขาม,ท่าหลวง,92,7.4,660,1.6,-,65,39,24,0.62,0.2,0.0,0.0,0.1,< 1,9.2,0,445,0.2,-,< 0.9,320,0,429,,,,,,
2564,6409G010,โรงเรียนตำรวจตระเวนชายแดนบ้านเขาสารภี ตำบลทับพริก อำเภออรัญประเทศ จังหวัดสระแก้ว,สระแก้ว,อรัญประเทศ,ทับพริก,92,7.1,534,-,-,70,13,20,0.51,4.0,0.1,-,-,19,11,0,288,0.4,-,20,230,0,347,,,,,,
